編號,經度,緯度,事件類別,CBI值
108_A1_192,121.487811,24.951705,A1,3
108_A1_193,121.037302,24.776996,A1,3
108_A1_194,121.544317,24.98119,A1,3
108_A1_195,121.368857,24.916624,A1,3
108_A1_196,121.183084,24.95912,A1,3
108_A1_197,120.65129,24.146698,A1,3
108_A1_198,120.449936,23.476252,A1,3
108_A1_199,120.299545,22.622573,A1,3
108_A1_200,121.459465,25.029749,A1,3
108_A1_201,120.69979,24.138896,A1,3
108_A1_202,121.74137,24.270156,A1,3
108_A1_203,120.805079,24.577374,A1,3
108_A1_204,121.040728,24.902819,A1,3
108_A1_205,121.511013,25.002397,A1,3
108_A1_206,120.209892,23.034606,A1,3
108_A1_207,121.243136,24.679933,A1,3
108_A1_208,120.522454,23.878128,A1,3
108_A1_209,120.96791,24.813699,A1,3
108_A1_210,120.69088,24.147341,A1,3
108_A1_211,120.709223,24.23343,A1,3
108_A1_212,121.742926,25.088489,A1,3
108_A1_213,120.674035,23.920575,A1,3
108_A1_214,120.927449,24.788216,A1,3
108_A1_215,120.304113,23.303647,A1,3
108_A1_216,120.481056,22.895112,A1,3
108_A1_217,120.262696,23.000942,A1,3
108_A1_218,121.499717,25.130142,A1,3
108_A1_219,121.521851,25.057801,A1,3
108_A1_220,121.606935,25.078027,A1,3
108_A1_221,120.684264,24.232015,A1,3
108_A1_222,120.859205,24.57855,A1,3
108_A1_223,120.22467,23.178112,A1,3
108_A1_224,120.2935,22.63544,A1,3
108_A1_225,121.495971,24.994081,A1,3
108_A1_226,120.281712,22.642618,A1,3
108_A1_227,120.6748,24.163106,A1,3
108_A1_228,121.211799,24.880271,A1,3
108_A1_229,120.488798,22.576906,A1,3
108_A1_230,121.098891,24.819612,A1,3
108_A1_231,121.450009,25.03549,A1,3
108_A1_232,120.995204,24.843027,A1,3
108_A1_233,120.44417,23.73561,A1,3
108_A1_234,120.992194,24.799425,A1,3
108_A1_235,120.985551,24.902787,A1,3
108_A1_236,120.190018,23.494094,A1,3
108_A1_237,120.252801,22.991678,A1,3
108_A1_238,121.205615,24.861151,A1,3
108_A1_239,120.307772,23.75882,A1,3
108_A1_240,120.566717,24.014297,A1,3
108_A1_241,120.675507,23.94323,A1,3
108_A1_242,121.728533,25.116459,A1,3
108_A1_243,121.297517,24.93392,A1,3
108_A1_244,121.600598,25.004073,A1,3
108_A1_245,120.152015,23.205573,A1,3
108_A1_246,120.220874,22.935838,A1,3
108_A1_247,120.284253,22.967926,A1,3
108_A1_248,120.682229,24.137349,A1,3
108_A1_249,121.514709,25.06291,A1,3
108_A1_250,121.425814,25.064194,A1,3
108_A1_251,121.313308,25.080031,A1,3
108_A1_252,121.05705,24.765163,A1,3
108_A1_253,120.517636,23.866192,A1,3
108_A1_254,120.266916,23.316211,A1,3
108_A1_255,120.790266,24.614873,A1,3
108_A1_256,121.496319,25.00367,A1,3
108_A1_257,120.259631,23.127684,A1,3
108_A1_258,121.524896,25.123031,A1,3
108_A1_259,121.481315,25.136643,A1,3
108_A1_260,121.492424,24.990619,A1,3
108_A1_261,120.679977,24.163213,A1,3
108_A1_262,121.310316,24.98466,A1,3
108_A1_263,120.33139,22.653312,A1,3
108_A1_264,121.799355,24.685293,A1,3
108_A1_265,120.581135,23.901538,A1,3
108_A1_266,120.884225,24.645441,A1,3
108_A1_267,120.3397,22.88164,A1,3
108_A1_268,120.216532,23.462801,A1,3
108_A1_269,121.543368,24.998925,A1,3
108_A1_270,121.540385,24.974234,A1,3
108_A1_271,121.840621,24.878176,A1,3
108_A1_272,120.873744,24.449393,A1,3
108_A1_273,120.49841,24.074755,A1,3
108_A1_274,120.257042,22.981525,A1,3
108_A1_275,120.715626,24.180068,A1,3
108_A1_276,120.5438,22.88448,A1,3
108_A1_277,121.292068,25.047279,A1,3
108_A1_278,120.797785,24.266476,A1,3
108_A1_279,121.310745,24.996125,A1,3
108_A1_280,120.372176,23.259262,A1,3
108_A1_281,121.094225,24.974312,A1,3
108_A1_282,121.476277,25.034205,A1,3
108_A1_283,120.515521,24.063668,A1,3
108_A1_284,120.310602,22.826556,A1,3
108_A1_285,120.428877,23.711458,A1,3
108_A1_286,121.140492,24.808773,A1,3
108_A1_287,119.657454,23.584318,A1,3
108_A1_288,120.720496,24.262128,A1,3
108_A1_289,121.419861,24.981561,A1,3
108_A1_290,120.538021,23.696908,A1,3
108_A1_291,121.299841,24.889294,A1,3
